sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
145;DHT22;3528;-0.286;36.067;2023-02-04T05:50:57.144848+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2023-02-04T05:50:57.144978+00:00;P2;17
144;SDS011;3528;-0.286;36.067;2023-02-04T05:50:57.144978+00:00;P1;63
145;DHT22;3528;-0.286;36.067;2023-02-04T05:53:37.412568+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2023-02-04T05:53:37.412568+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2023-02-04T05:53:37.419565+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2023-02-04T05:53:37.419565+00:00;P1;12
145;DHT22;3528;-0.286;36.067;2023-02-04T05:56:16.663044+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2023-02-04T05:56:16.663044+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2023-02-04T05:56:16.663046+00:00;P2;7
144;SDS011;3528;-0.286;36.067;2023-02-04T05:56:16.663046+00:00;P1;20
145;DHT22;3528;-0.286;36.067;2023-02-04T05:58:56.944309+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2023-02-04T05:58:56.944309+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2023-02-04T05:58:56.944311+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2023-02-04T05:58:56.944311+00:00;P1;30
145;DHT22;3528;-0.286;36.067;2023-02-04T06:01:37.381724+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2023-02-04T06:01:37.381724+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2023-02-04T06:01:37.381743+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2023-02-04T06:01:37.381743+00:00;P1;18
145;DHT22;3528;-0.286;36.067;2023-02-04T06:04:17.403222+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2023-02-04T06:04:17.403222+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2023-02-04T06:04:17.460168+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2023-02-04T06:04:17.460168+00:00;P1;32
145;DHT22;3528;-0.286;36.067;2023-02-04T06:06:57.868318+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2023-02-04T06:06:57.868318+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2023-02-04T06:06:57.868334+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2023-02-04T06:06:57.868334+00:00;P1;14
144;SDS011;3528;-0.286;36.067;2023-02-04T06:09:38.361867+00:00;P2;13
144;SDS011;3528;-0.286;36.067;2023-02-04T06:09:38.361867+00:00;P1;29
145;DHT22;3528;-0.286;36.067;2023-02-04T06:09:38.362683+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2023-02-04T06:09:38.362683+00:00;temperature;19
145;DHT22;3528;-0.286;36.067;2023-02-04T06:12:18.436048+00:00;humidity;89
145;DHT22;3528;-0.286;36.067;2023-02-04T06:12:18.436048+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2023-02-04T06:12:18.438049+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2023-02-04T06:12:18.438049+00:00;P1;20
145;DHT22;3528;-0.286;36.067;2023-02-04T06:14:58.286043+00:00;humidity;87
145;DHT22;3528;-0.286;36.067;2023-02-04T06:14:58.286043+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2023-02-04T06:14:58.288202+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2023-02-04T06:14:58.288202+00:00;P1;17
145;DHT22;3528;-0.286;36.067;2023-02-04T06:17:38.667875+00:00;humidity;86
145;DHT22;3528;-0.286;36.067;2023-02-04T06:17:38.667875+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2023-02-04T06:17:38.667884+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2023-02-04T06:17:38.667884+00:00;P1;13
145;DHT22;3528;-0.286;36.067;2023-02-04T06:20:19.227450+00:00;humidity;86
145;DHT22;3528;-0.286;36.067;2023-02-04T06:20:19.227450+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2023-02-04T06:20:19.227524+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2023-02-04T06:20:19.227524+00:00;P1;14
145;DHT22;3528;-0.286;36.067;2023-02-04T06:22:58.685758+00:00;humidity;84
145;DHT22;3528;-0.286;36.067;2023-02-04T06:22:58.685758+00:00;temperature;20
144;SDS011;3528;-0.286;36.067;2023-02-04T06:22:58.687056+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2023-02-04T06:22:58.687056+00:00;P1;26
144;SDS011;3528;-0.286;36.067;2023-02-04T06:25:38.929822+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2023-02-04T06:25:38.929822+00:00;P1;27
145;DHT22;3528;-0.286;36.067;2023-02-04T06:25:38.931872+00:00;humidity;83
145;DHT22;3528;-0.286;36.067;2023-02-04T06:25:38.931872+00:00;temperature;20
145;DHT22;3528;-0.286;36.067;2023-02-04T06:28:18.937462+00:00;humidity;83
145;DHT22;3528;-0.286;36.067;2023-02-04T06:28:18.937462+00:00;temperature;20
144;SDS011;3528;-0.286;36.067;2023-02-04T06:28:19.082418+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2023-02-04T06:28:19.082418+00:00;P1;27
145;DHT22;3528;-0.286;36.067;2023-02-04T06:30:59.525798+00:00;humidity;81
145;DHT22;3528;-0.286;36.067;2023-02-04T06:30:59.525798+00:00;temperature;20
144;SDS011;3528;-0.286;36.067;2023-02-04T06:30:59.526649+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2023-02-04T06:30:59.526649+00:00;P1;20
144;SDS011;3528;-0.286;36.067;2023-02-04T06:33:38.923483+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2023-02-04T06:33:38.923483+00:00;P1;30
145;DHT22;3528;-0.286;36.067;2023-02-04T06:33:39.149496+00:00;humidity;81
145;DHT22;3528;-0.286;36.067;2023-02-04T06:33:39.149496+00:00;temperature;21
144;SDS011;3528;-0.286;36.067;2023-02-04T06:36:19.347586+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2023-02-04T06:36:19.347586+00:00;P1;18
145;DHT22;3528;-0.286;36.067;2023-02-04T06:36:19.347603+00:00;humidity;76
145;DHT22;3528;-0.286;36.067;2023-02-04T06:36:19.347603+00:00;temperature;21
144;SDS011;3528;-0.286;36.067;2023-02-04T06:38:59.716146+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2023-02-04T06:38:59.716146+00:00;P1;104
145;DHT22;3528;-0.286;36.067;2023-02-04T06:38:59.716498+00:00;humidity;74
145;DHT22;3528;-0.286;36.067;2023-02-04T06:38:59.716498+00:00;temperature;21
144;SDS011;3528;-0.286;36.067;2023-02-04T06:41:39.560030+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2023-02-04T06:41:39.560030+00:00;P1;17
145;DHT22;3528;-0.286;36.067;2023-02-04T06:41:39.562097+00:00;humidity;71
145;DHT22;3528;-0.286;36.067;2023-02-04T06:41:39.562097+00:00;temperature;21
144;SDS011;3528;-0.286;36.067;2023-02-04T06:44:19.323360+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2023-02-04T06:44:19.323360+00:00;P1;18
145;DHT22;3528;-0.286;36.067;2023-02-04T06:44:19.326453+00:00;humidity;70
145;DHT22;3528;-0.286;36.067;2023-02-04T06:44:19.326453+00:00;temperature;21
145;DHT22;3528;-0.286;36.067;2023-02-04T06:46:59.286986+00:00;humidity;70
145;DHT22;3528;-0.286;36.067;2023-02-04T06:46:59.286986+00:00;temperature;22
144;SDS011;3528;-0.286;36.067;2023-02-04T06:46:59.287009+00:00;P2;7
144;SDS011;3528;-0.286;36.067;2023-02-04T06:46:59.287009+00:00;P1;21
144;SDS011;3528;-0.286;36.067;2023-02-04T06:49:40.156928+00:00;P2;7
144;SDS011;3528;-0.286;36.067;2023-02-04T06:49:40.156928+00:00;P1;19
145;DHT22;3528;-0.286;36.067;2023-02-04T06:49:40.156964+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2023-02-04T06:49:40.156964+00:00;temperature;22
144;SDS011;3528;-0.286;36.067;2023-02-04T06:52:20.293391+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2023-02-04T06:52:20.293391+00:00;P1;39
145;DHT22;3528;-0.286;36.067;2023-02-04T06:52:20.294493+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2023-02-04T06:52:20.294493+00:00;temperature;22
145;DHT22;3528;-0.286;36.067;2023-02-04T06:54:59.773980+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2023-02-04T06:54:59.773980+00:00;temperature;22
144;SDS011;3528;-0.286;36.067;2023-02-04T06:54:59.773991+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2023-02-04T06:54:59.773991+00:00;P1;20
145;DHT22;3528;-0.286;36.067;2023-02-04T06:57:40.734204+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2023-02-04T06:57:40.734204+00:00;temperature;22
144;SDS011;3528;-0.286;36.067;2023-02-04T06:57:40.787573+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2023-02-04T06:57:40.787573+00:00;P1;7
144;SDS011;3528;-0.286;36.067;2023-02-04T07:00:21.074904+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2023-02-04T07:00:21.074904+00:00;P1;6
145;DHT22;3528;-0.286;36.067;2023-02-04T07:00:21.082125+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2023-02-04T07:00:21.082125+00:00;temperature;23
144;SDS011;3528;-0.286;36.067;2023-02-04T07:03:00.396456+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2023-02-04T07:03:00.396456+00:00;P1;14
145;DHT22;3528;-0.286;36.067;2023-02-04T07:03:00.396508+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2023-02-04T07:03:00.396508+00:00;temperature;23
145;DHT22;3528;-0.286;36.067;2023-02-04T07:05:41.186858+00:00;humidity;63
145;DHT22;3528;-0.286;36.067;2023-02-04T07:05:41.186858+00:00;temperature;23
144;SDS011;3528;-0.286;36.067;2023-02-04T07:05:41.186861+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2023-02-04T07:05:41.186861+00:00;P1;10
145;DHT22;3528;-0.286;36.067;2023-02-04T07:08:21.019636+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2023-02-04T07:08:21.019636+00:00;temperature;23
144;SDS011;3528;-0.286;36.067;2023-02-04T07:08:21.389829+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2023-02-04T07:08:21.389829+00:00;P1;19
144;SDS011;3528;-0.286;36.067;2023-02-04T07:11:01.001683+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2023-02-04T07:11:01.001683+00:00;P1;32
145;DHT22;3528;-0.286;36.067;2023-02-04T07:11:01.006209+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2023-02-04T07:11:01.006209+00:00;temperature;23
145;DHT22;3528;-0.286;36.067;2023-02-04T07:13:41.646775+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2023-02-04T07:13:41.646775+00:00;temperature;24
144;SDS011;3528;-0.286;36.067;2023-02-04T07:13:41.648291+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2023-02-04T07:13:41.648291+00:00;P1;22
145;DHT22;3528;-0.286;36.067;2023-02-04T07:16:21.182164+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2023-02-04T07:16:21.182164+00:00;temperature;24
144;SDS011;3528;-0.286;36.067;2023-02-04T07:16:21.182172+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2023-02-04T07:16:21.182172+00:00;P1;17
144;SDS011;3528;-0.286;36.067;2023-02-04T07:19:01.496544+00:00;P2;7
